one-hot__Sex_Male,one-hot__Where_do_you_climb_Indoor Climbing only,one-hot__Where_do_you_climb_Indoor and outdoor climbing,one-hot__Where_do_you_climb_Outdoor Climbing only,Timestamp,Height_(cm),Weight_(KG),Arm_Span_(cm),How_long_have_you_been_climbing_for,Hardest_V_Grade_ever_climbed_,Hardest_V_Grade_climbed_in_the_Last_3_months,The_V_grade_you_can_send_90-100%_of_routes_,Hardest_Route_grade_climbed_(Ewbank_grade)_,Hardest_route_climbed_last_3_months_(ewbank),Route_grade_you_can_send_90-100%_of_climbs,Frequency_of_climbing_sessions_per_week,Average_hours_climbing_per_week_(not_including_training),Average_hours_Training_for_climbing_per_week_,Hangboard_Frequency_per_week_,Max_Weight_hangboard_18mm_edge_-_Half_crimp_(KG)__(10_seconds)_(added_weight_only),Max_Weight_hangboard_18mm_edge_-_open_crimp_(KG)_(10_seconds)__(added_weight_only),"Min_Edge_used_(mm,_+kg_if_weight_added_)_-_Half_Crimp_(10_seconds)","Min_Edge_used_(mm,_+kg_if_weight_added)_-_Open_crimp_(10_seconds)_",Campus_Board_frequency_per_week_,Campus_Board_time_per_week_(hours),Frequency_of_Endurance_training_sesions_per_week,General_Strength_Training_frequency_per_week_,Time_spent_General_strength_training_(hours),"Other_activities_(ie_yoga,_cardio)",Max_pull_up_reps,5_rep_max_weighted_pull_ups,max_push_ups_reps,max_L-sit_time_,Back 2,Back 3,Front 2,Front 3,Full Crimp,Half Crimp,I don't Hangboard,Middle 2,Monos,Open Crimp,Pinch,Slopers,"""no hangs""",I don't hangboard,Max weight,Min Edge,One arm hang program,Other protocol,Repeaters,,4x4,ARC,Feet on 'campusing',I don't train for endurance,Laps of routes,Max moves,hangboard repeater protocols,other,route climbing intervals,systems boards,threshold intervals,Antagonists,Core,Legs,No other strength training,Upper body pulling,Upper body pushing
1.0,0.0,1.0,0.0,1485720766000000000,173.0,77.0,178.0,4.0,8.0,8.0,6.0,,,,4,8,6,0,0.0,0,0,0,0,0,1,3,4,,15,29.0,40.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1.0,1.0,0.0,0.0,1485721047000000000,180.0,81.0,180.0,3.0,3.0,3.0,1.0,17.0,,,1,3,10,2,,81kg,,,0,0,1,2,2,"Yoga, stretching",11,5.0,24.0,15.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485721694000000000,178.0,67.0,175.0,5.0,7.0,6.0,5.0,21.0,21.0,19.0,3,4,3,2,25.0,25,,,0,0,2,3,2,soccer,17,20.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485723068000000000,173.0,70.0,178.0,9.0,5.0,4.0,3.0,21.0,21.0,18.0,2,6,1,1,15.0,,,,0,0,1,0,0,,8,,30.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
1.0,0.0,1.0,0.0,1485723799000000000,184.0,84.0,197.0,6.0,10.0,10.0,7.0,,,,6,10,2,4,,,8,8,0,0,2,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1.0,0.0,1.0,0.0,1485723808000000000,176.0,67.0,170.0,5.0,7.0,,7.0,22.0,,18.0,0,0,0,0,,,,,0,0,0,4,6,Trail running,9,,15.0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
1.0,1.0,0.0,0.0,1485725154000000000,184.0,75.0,181.0,1.0,4.0,4.0,2.0,,,,2,4,0,0,,,,,0,0,0,2,4,,15,175.0,,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
1.0,0.0,1.0,0.0,1485727827000000000,186.0,88.0,192.0,1.0,5.0,5.0,3.0,23.0,22.0,21.0,3,8,8,1,,,,,0,0,2,3,4,Cardio,9,25.0,25.0,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1
1.0,1.0,0.0,0.0,1485729823000000000,185.0,60.0,180.0,5.0,2.0,2.0,1.0,21.0,21.0,18.0,1,3,1,0,,,,,0,0,0,1,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0.0,1.0,0.0,1485732522000000000,180.0,80.0,,8.0,9.0,7.0,6.0,,,,4,3,8,2,60.0,,,,1,1,0,1,2,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
